module,revisions,code
src/isomorphic/children/__tests__/onlyChild-test.js,8,74
src/renderers/dom/shared/eventPlugins/BeforeInputEventPlugin.js,8,281
docs/docs/introducing-jsx.md,8,118
src/renderers/dom/shared/dangerousStyleValue.js,8,19
src/shared/utils/getComponentName.js,8,23
src/renderers/shared/utils/validateCallback.js,8,11
src/renderers/shared/stack/reconciler/CallbackQueue.js,7,53
src/renderers/shared/fiber/isomorphic/ReactTypes.js,7,30
src/renderers/dom/shared/__tests__/ReactDOMSVG-test.js,7,201
src/renderers/dom/shared/wrappers/__tests__/ReactDOMTextarea-test.js,7,287
src/isomorphic/modern/class/__tests__/ReactClassEquivalence-test.js,7,50
src/renderers/dom/shared/wrappers/__tests__/ReactDOMOption-test.js,7,79
src/renderers/dom/stack/server/ReactServerUpdateQueue.js,7,77
src/renderers/dom/shared/eventPlugins/__tests__/ChangeEventPlugin-test.js,7,164
src/renderers/__tests__/ReactHostOperationHistoryHook-test.js,7,661
docs/docs/typechecking-with-proptypes.md,7,138
src/renderers/native/ReactNativeFiberRenderer.js,7,292
src/renderers/dom/shared/SVGDOMPropertyConfig.js,7,124
src/renderers/shared/stack/reconciler/flattenStackChildren.js,7,74
src/renderers/dom/shared/__tests__/findDOMNode-test.js,7,73
docs/_posts/2016-11-16-react-v15.4.0.md,7,124
scripts/circleci/test_entry_point.sh,7,45
src/renderers/shared/shared/ReactTreeTraversal.js,7,96
src/renderers/shared/fiber/__tests__/ReactIncrementalTriangle-test.js,7,274
src/isomorphic/children/onlyChild.js,7,11
docs/docs/reference-dom-elements.md,7,129
scripts/error-codes/__tests__/dev-expression-with-codes-test.js,7,75
scripts/rollup/packaging.js,7,126
docs/_js/live_editor.js,7,201
scripts/jest/preprocessor.js,7,81
src/renderers/__tests__/ReactMultiChild-test.js,7,315
docs/docs/conditional-rendering.md,7,191
docs/_posts/2017-07-26-error-handling-in-react-16.md,7,74
docs/warnings/dont-call-proptypes.md,6,75
docs/docs/lists-and-keys.md,6,240
src/renderers/dom/stack/server/ReactServerRendering.js,6,67
src/renderers/__tests__/ReactIdentity-test.js,6,192
src/renderers/native/ReactNativeComponent.js,6,75
docs/index.md,6,86
docs/_posts/2016-07-22-create-apps-with-no-configuration.md,6,102
src/renderers/shared/shared/event/eventPlugins/ResponderTouchHistoryStore.js,6,179
src/renderers/__tests__/ReactErrorBoundaries-test.js,6,1944
src/renderers/shared/shared/getContextForSubtree.js,6,23
src/renderers/shared/stack/reconciler/Transaction.js,6,103
src/renderers/native/takeSnapshot.js,6,18
src/renderers/dom/ReactDOMNodeStreamRenderer.js,6,26
docs/docs/web-components.md,6,48
docs/docs/addons-perf.md,6,90
src/renderers/native/ReactNativeFiberHostComponent.js,6,68
src/renderers/shared/hooks/ReactInvalidSetStateWarningHook.js,6,24
docs/docs/hello-world.md,6,25
src/renderers/dom/shared/DOMMarkupOperations.js,6,84
src/renderers/shared/stack/reconciler/traverseStackChildren.js,6,119
src/renderers/shared/stack/reconciler/ReactComponentEnvironment.js,6,27
.github/PULL_REQUEST_TEMPLATE.md,6,9
src/renderers/dom/shared/setInnerHTML.js,6,18
scripts/release-manager/commands/docs-prs.js,6,109
src/renderers/native/ReactNativeViewConfigRegistry.js,6,38
docs/docs/portals.md,6,116
src/renderers/dom/stack/client/ReactDOMStackInjection.js,6,34
packages/react-test-renderer/index.js,6,6
src/renderers/dom/shared/__tests__/ReactDOMComponentTree-test.js,6,100
src/renderers/shared/ReactDOMFrameScheduling.js,6,98
src/renderers/__tests__/refs-destruction-test.js,6,100
fixtures/dom/src/components/fixtures/number-inputs/index.js,6,162
src/renderers/dom/ReactDOMStackEntry.js,6,127
src/renderers/native/ReactNativeTypes.js,6,76
src/renderers/testing/ReactShallowRendererEntry.js,6,203
docs/docs/state-and-lifecycle.md,6,346
src/renderers/shared/fiber/ReactDebugFiberPerf.js,6,324
src/renderers/__tests__/ReactMultiChildText-test.js,6,178
docs/docs/components-and-props.md,6,206
src/renderers/dom/shared/eventPlugins/__tests__/SelectEventPlugin-test.js,6,64
scripts/jest/ts-preprocessor.js,6,85
src/shared/ReactFiberComponentTreeHook.js,6,41
src/isomorphic/modern/class/__tests__/ReactPureComponent-test.js,6,100
src/renderers/dom/shared/eventPlugins/__tests__/SimpleEventPlugin-test.js,6,140
src/renderers/native/ReactNativeInjection.js,6,21
src/renderers/dom/stack/client/DOMLazyTree.js,6,90
src/renderers/shared/shared/event/eventPlugins/ResponderEventPlugin.js,6,278
docs/README.md,6,51
src/renderers/dom/ReactDOMStringRenderer.js,6,16
src/renderers/dom/shared/__tests__/renderSubtreeIntoContainer-test.js,6,260
scripts/circleci/upload_build.sh,5,17
src/renderers/shared/shared/event/__tests__/EventPluginRegistry-test.js,5,188
src/renderers/shared/stack/reconciler/ReactSimpleEmptyComponent.js,5,37
fixtures/attribute-behavior/src/index.js,5,5
src/renderers/shared/stack/reconciler/ReactDefaultBatchingStrategy.js,5,37
src/shared/utils/__tests__/reactProdInvariant-test.js,5,34
docs/css/react.scss,5,1026
docs/warnings/refs-must-have-owner.md,5,22
src/renderers/__tests__/EventPluginHub-test.js,5,38
src/renderers/dom/test/ReactTestUtilsEntry.js,5,344
fixtures/dom/src/components/fixtures/text-inputs/index.js,5,82
src/renderers/testing/__tests__/ReactShallowRenderer-test.js,5,594
src/shared/utils/reactProdInvariant.js,5,21
scripts/release-manager/commands/npm-publish.js,5,51
src/renderers/__tests__/ReactMockedComponent-test.js,5,77
docs/_data/authors.yml,5,75
src/renderers/dom/shared/eventPlugins/__tests__/EnterLeaveEventPlugin-test.js,5,41
fixtures/fiber-debugger/src/App.js,5,249
src/renderers/native/ReactNativeFiberInspector.js,5,100
circle.yml,5,38
src/renderers/dom/shared/syntheticEvents/SyntheticMouseEvent.js,5,42
src/renderers/shared/hooks/ReactHostOperationHistoryHook.js,5,31
fixtures/fiber-debugger/src/Fibers.js,5,379
fixtures/dom/src/components/TestCase.js,5,132
scripts/rollup/header.js,5,13
fixtures/art/VectorWidget.js,5,104
src/renderers/shared/stack/reconciler/ReactHostComponent.js,5,33
src/renderers/shared/fiber/isomorphic/ReactPortal.js,5,27
src/renderers/__tests__/ReactEmptyComponent-test.js,5,243
scripts/release-manager/commands/init.js,5,61
src/renderers/dom/shared/eventPlugins/TapEventPlugin.js,5,111
flow/environment.js,5,1
docs/docs/composition-vs-inheritance.md,5,139
scripts/jest/setupSpecEquivalenceReporter.js,5,17
docs/_posts/2015-02-18-react-conf-roundup-2015.md,5,240
src/renderers/dom/shared/__tests__/ReactEventIndependence-test.js,5,47
docs/docs/addons.md,5,33
src/renderers/shared/shared/event/ReactGenericBatching.js,5,40
src/renderers/native/NativeMethodsMixinUtils.js,5,57
src/renderers/dom/shared/syntheticEvents/__tests__/SyntheticEvent-test.js,5,154
