entity,n-revs
src/isomorphic/__tests__/React-test.js,9
src/renderers/dom/shared/ReactDOMInjection.js,9
src/renderers/native/ReactNativeStack.js,9
docs/js/react-dom.js,9
src/isomorphic/classic/types/checkPropTypes.js,9
src/test/reactComponentExpect.js,9
src/renderers/shared/shared/__tests__/ReactMultiChild-test.js,9
src/renderers/native/ReactNativeBridgeEventPlugin.js,9
fixtures/dom/package.json,9
src/renderers/art/ReactARTStack.js,9
src/fb/ReactDOMFiberFBEntry.js,9
src/renderers/dom/shared/findDOMNode.js,9
docs/docs/tutorial.ja-JP.md,9
src/renderers/shared/stack/reconciler/__tests__/ReactComponent-test.js,9
src/renderers/dom/shared/validateDOMNesting.js,9
src/renderers/dom/shared/__tests__/ReactDOMInvalidARIAHook-test.js,9
docs/docs/addons-test-utils.md,9
scripts/release-manager/commands/stable-prs.js,9
src/__mocks__/UIManager.js,9
src/renderers/shared/shared/event/EventPluginRegistry.js,9
src/renderers/shared/fiber/ReactFiberHydrationContext.js,9
docs/docs/addons-animation.md,9
grunt/tasks/jest.js,9
src/renderers/native/ReactNativeStackInjection.js,9
src/renderers/shared/shared/event/EventPropagators.js,9
src/renderers/dom/shared/ReactInputSelection.js,8
src/renderers/dom/shared/dangerousStyleValue.js,8
src/renderers/shared/shared/event/SyntheticEvent.js,8
src/renderers/art/ReactART.js,8
src/renderers/shared/utils/validateCallback.js,8
src/renderers/shared/fiber/__tests__/__snapshots__/ReactIncrementalPerf-test.js.snap,8
src/renderers/testing/ReactTestRendererFiberEntry.js,8
src/renderers/shared/__tests__/ReactDebugTool-test.js,8
docs/docs/conferences.md,8
src/renderers/dom/shared/eventPlugins/SimpleEventPlugin.js,8
.babelrc,8
src/renderers/shared/fiber/ReactFiberPendingWork.js,8
src/renderers/shared/shared/__tests__/ReactUpdates-test.js,8
src/umd/ReactUMDEntry.js,8
src/isomorphic/ReactPerf.js,8
src/shared/utils/__tests__/traverseAllChildren-test.js,8
scripts/release-manager/package.json,8
src/renderers/native/ReactNativeAttributePayload.js,8
src/renderers/dom/shared/eventPlugins/SelectEventPlugin.js,8
src/test/ReactShallowRenderer.js,8
.eslintrc.js,8
examples/fiber/index.html,8
src/isomorphic/classic/class/__tests__/ReactBindOptout-test.js,8
docs/docs/context.md,8
src/isomorphic/modern/class/ReactNoopUpdateQueue.js,8
docs/docs/introducing-jsx.md,8
docs/contributing/implementation-notes.md,8
src/renderers/noop/ReactNoopEntry.js,8
src/renderers/dom/test/__tests__/ReactTestUtils-test.js,8
src/isomorphic/children/__tests__/onlyChild-test.js,8
src/addons/__tests__/ReactFragment-test.js,8
src/isomorphic/classic/class/__tests__/ReactClass-test.js,8
src/renderers/shared/stack/reconciler/__tests__/ReactStatelessComponent-test.js,8
docs/docs/tutorial.it-IT.md,8
src/renderers/__tests__/ReactComponentTreeHook-test.native.js,8
docs/docs/tutorial.ko-KR.md,8
src/isomorphic/modern/class/ReactBaseClasses.js,8
src/isomorphic/children/ReactChildren.js,8
src/renderers/__tests__/ReactPerf-test.js,8
src/renderers/shared/stack/reconciler/__tests__/ReactMultiChildReconcile-test.js,8
src/shared/utils/PooledClass.js,8
src/shared/utils/getComponentName.js,8
src/renderers/dom/shared/inputValueTracking.js,8
src/renderers/dom/shared/eventPlugins/BeforeInputEventPlugin.js,8
src/renderers/dom/client/eventPlugins/SimpleEventPlugin.js,8
src/isomorphic/children/onlyChild.js,7
src/renderers/shared/reconciler/instantiateReactComponent.js,7
src/renderers/dom/shared/SVGDOMPropertyConfig.js,7
src/renderers/shared/stack/reconciler/__tests__/refs-test.js,7
src/isomorphic/__tests__/ReactPerf-test.js,7
src/renderers/dom/shared/wrappers/__tests__/ReactDOMTextarea-test.js,7
docs/docs/conditional-rendering.md,7
src/renderers/dom/shared/__tests__/ReactDOMSVG-test.js,7
src/renderers/shared/fiber/__tests__/ReactIncrementalTriangle-test.js,7
src/renderers/dom/shared/ReactDOMTextComponent.js,7
src/renderers/dom/stack/server/__tests__/ReactServerRendering-test.js,7
src/renderers/dom/shared/eventPlugins/__tests__/ChangeEventPlugin-test.js,7
.gitignore,7
src/addons/ReactWithAddons.js,7
docs/docs/03-interactivity-and-dynamic-uis.ru-RU.md,7
src/renderers/native/ReactNative/ReactNativeDefaultInjection.js,7
docs/docs/reference-dom-elements.md,7
docs/docs/typechecking-with-proptypes.md,7
scripts/error-codes/__tests__/dev-expression-with-codes-test.js,7
scripts/rollup/packaging.js,7
src/renderers/dom/stack/server/ReactServerUpdateQueue.js,7
src/renderers/native/ReactNative/ReactNativeBaseComponent.js,7
src/renderers/dom/shared/__tests__/findDOMNode-test.js,7
docs/docs/getting-started.md,7
src/renderers/shared/stack/reconciler/CallbackQueue.js,7
src/isomorphic/devtools/__tests__/ReactComponentTreeDevtool-test.native.js,7
src/renderers/shared/stack/reconciler/flattenStackChildren.js,7
src/renderers/__tests__/ReactMultiChild-test.js,7
docs/_posts/2016-11-16-react-v15.4.0.md,7
src/renderers/dom/client/utils/DOMChildrenOperations.js,7
src/renderers/shared/shared/ReactTreeTraversal.js,7
scripts/jest/preprocessor.js,7
docs/_posts/2017-07-26-error-handling-in-react-16.md,7
src/renderers/dom/shared/wrappers/__tests__/ReactDOMOption-test.js,7
src/isomorphic/modern/class/__tests__/ReactClassEquivalence-test.js,7
src/renderers/shared/fiber/isomorphic/ReactTypes.js,7
src/renderers/native/ReactNativeFiberRenderer.js,7
docs/_js/live_editor.js,7
src/renderers/__tests__/ReactHostOperationHistoryHook-test.js,7
src/addons/shallowCompare.js,7
src/renderers/native/ReactNativeReconcileTransaction.js,7
scripts/circleci/test_entry_point.sh,7
docs/docs/09.1-language-tooling.md,6
src/renderers/shared/stack/reconciler/Transaction.js,6
docs/docs/components-and-props.md,6
src/renderers/shared/shared/event/eventPlugins/ResponderEventPlugin.js,6
src/renderers/shared/hooks/ReactInvalidSetStateWarningHook.js,6
docs/docs/hello-world.md,6
src/renderers/testing/ReactTestReconcileTransaction.js,6
src/renderers/shared/shared/getContextForSubtree.js,6
src/renderers/dom/ReactDOMStringRenderer.js,6
src/renderers/shared/stack/reconciler/__tests__/ReactComponentLifeCycle-test.js,6
src/renderers/native/ReactNativeInjection.js,6
src/renderers/__tests__/refs-destruction-test.js,6
src/test/__tests__/reactComponentExpect-test.js,6
docs/docs/portals.md,6
docs/warnings/dont-call-proptypes.md,6
docs/README.md,6
src/renderers/__tests__/ReactErrorBoundaries-test.js,6
docs/docs/ref-02-component-api.it-IT.md,6
src/addons/link/__tests__/ReactLinkPropTypes-test.js,6
docs/docs/web-components.md,6
src/renderers/testing/stack/ReactTestRendererStack.js,6
src/renderers/native/ReactNativeTextComponent.js,6
src/renderers/shared/stack/reconciler/traverseStackChildren.js,6
src/renderers/dom/shared/__tests__/ReactDOMDebugTool-test.js,6
docs/docs/getting-started.zh-CN.md,6
src/isomorphic/classic/types/checkReactTypeSpec.js,6
src/isomorphic/devtools/__tests__/ReactNativeOperationHistoryDevtool-test.js,6
src/isomorphic/modern/class/__tests__/ReactPureComponent-test.js,6
docs/docs/ref-02-component-api.ko-KR.md,6
docs/_posts/2016-07-22-create-apps-with-no-configuration.md,6
src/renderers/dom/stack/client/ReactDOMStackInjection.js,6
src/renderers/dom/ReactDOMStackEntry.js,6
src/shared/ReactFiberComponentTreeHook.js,6
src/renderers/testing/ReactShallowRendererEntry.js,6
src/renderers/shared/stack/reconciler/ReactComponentEnvironment.js,6
src/umd/ReactDOMUMDEntry.js,6
src/renderers/shared/ReactDOMFrameScheduling.js,6
src/umd/ReactWithAddonsUMDEntry.js,6
src/renderers/native/ReactNativeTypes.js,6
src/renderers/shared/fiber/ReactDebugFiberPerf.js,6
docs/docs/02-displaying-data.md,6
docs/docs/state-and-lifecycle.md,6
src/renderers/dom/shared/DOMMarkupOperations.js,6
docs/docs/ref-02-component-api.md,6
src/renderers/dom/stack/client/DOMLazyTree.js,6
fixtures/dom/yarn.lock,6
docs/docs/08.1-more-about-refs.md,6
src/renderers/native/takeSnapshot.js,6
docs/docs/addons-perf.md,6
src/renderers/native/ReactNativeComponent.js,6
docs/docs/lists-and-keys.md,6
src/renderers/dom/shared/__tests__/ReactDOMComponentTree-test.js,6
docs/index.md,6
fixtures/dom/src/components/fixtures/number-inputs/index.js,6
src/renderers/dom/shared/devtools/ReactDOMUnknownPropertyDevtool.js,6
docs/docs/10.4-test-utils.md,6
src/renderers/__tests__/ReactMultiChildText-test.js,6
src/renderers/native/ReactNative/ReactNativeTextComponent.js,6
src/renderers/__tests__/ReactIdentity-test.js,6
scripts/jest/ts-preprocessor.js,6
src/renderers/shared/fiber/ReactReifiedYield.js,6
src/renderers/shared/reconciler/ReactReconciler.js,6
src/renderers/native/ReactNative.js,6
docs/docs/ref-01-top-level-api.md,6
packages/react-test-renderer/index.js,6
src/renderers/dom/stack/server/ReactServerRendering.js,6
src/renderers/dom/shared/__tests__/CSSProperty-test.js,6
docs/docs/ref-02-component-api.zh-CN.md,6
src/renderers/dom/shared/eventPlugins/__tests__/SimpleEventPlugin-test.js,6
src/renderers/dom/shared/__tests__/renderSubtreeIntoContainer-test.js,6
src/renderers/dom/shared/eventPlugins/__tests__/SelectEventPlugin-test.js,6
src/renderers/dom/ReactDOMNodeStreamRenderer.js,6
.github/PULL_REQUEST_TEMPLATE.md,6
scripts/release-manager/commands/docs-prs.js,6
src/renderers/native/ReactNativeFiberHostComponent.js,6
